steamLink,title_en,title_zh,title_ja,image_fx
https://store.steampowered.com/app/3546070/,永浮島/The EverFloating Island,永浮島/The EverFloating Island,永浮島/The EverFloating Island,
 https://store.steampowered.com/app/2066230/  ,幽靈少女萊斯靈全年齡版、兔子愛麗絲夢遊仙境,幽靈少女萊斯靈全年齡版、兔子愛麗絲夢遊仙境,幽靈少女萊斯靈全年齡版、兔子愛麗絲夢遊仙境,
https://store.steampowered.com/app/1985620/,幽靈少女萊斯靈全年齡,幽靈少女萊斯靈全年齡,幽靈少女萊斯靈全年齡,
https://store.steampowered.com/app/3491350/_/,逐墨 / Seeker Tactics,逐墨 / Seeker Tactics,逐墨 / Seeker Tactics,
https://store.steampowered.com/app/3108780/Warrior_Architects/?l=tchinese,Warrior Architects,Warrior Architects,Warrior Architects,
https://store.steampowered.com/app/1864830/_/,英勇紋章Emblem of Valor,英勇紋章Emblem of Valor,英勇紋章Emblem of Valor,
https://store.steampowered.com/app/2400640/NanoApostle/,奈米使徒计划/NanoApostle,奈米使徒计划/NanoApostle,奈米使徒计划/NanoApostle,
https://store.steampowered.com/app/2331330/The_Bridge_Curse_2_The_Extrication/,女鬼桥二 释魂路/The Bridge Curse 2: The Extrication,女鬼桥二 释魂路/The Bridge Curse 2: The Extrication,女鬼桥二 释魂路/The Bridge Curse 2: The Extrication,
https://store.steampowered.com/app/2431790/Cyber_Paradise/,數碼天堂 Cyber Paradise,數碼天堂 Cyber Paradise,數碼天堂 Cyber Paradise,
https://store.steampowered.com/app/3070650/180/,群島物語：實習鍊金術士的180天之旅,群島物語：實習鍊金術士的180天之旅,群島物語：實習鍊金術士的180天之旅,
https://store.steampowered.com/app/1683270/Recall_Empty_Wishes/,Recall: Empty Wishes 空願,Recall: Empty Wishes 空願,Recall: Empty Wishes 空願,
https://store.steampowered.com/app/2223420/_/,紡織者之詠Voice of Belldona,紡織者之詠Voice of Belldona,紡織者之詠Voice of Belldona,
https://store.steampowered.com/app/1634150/Behind_the_Frame_The_Finest_Scenery/,Behind the Frame: The Finest Scenery,Behind the Frame: The Finest Scenery,Behind the Frame: The Finest Scenery,
https://store.steampowered.com/app/1434540/Zoeti/,Zoeti,Zoeti,Zoeti,
https://store.steampowered.com/app/3133400/LIGHT_Path_of_the_Archmage/,光：巫師之路 / LIGHT: Path of the Archmage,光：巫師之路 / LIGHT: Path of the Archmage,光：巫師之路 / LIGHT: Path of the Archmage,
https://store.steampowered.com/app/2574640/Dark_Samurai/,Dark Samurai,Dark Samurai,Dark Samurai,
https://store.steampowered.com/app/2321350/StormEdge/,风暴驭使 / StormEdge,风暴驭使 / StormEdge,风暴驭使 / StormEdge,
https://store.steampowered.com/app/1928690/Bionic_Bay/,Bionic Bay,Bionic Bay,Bionic Bay,
https://store.steampowered.com/app/1406850/The_Legend_of_Tianding/,The Legend of Tianding,The Legend of Tianding,The Legend of Tianding,
https://store.steampowered.com/app/1286280/_/,棄海/Pronty,棄海/Pronty,棄海/Pronty,
https://store.steampowered.com/app/3480590,雜牌勇者 / Roll Roll Hero,雜牌勇者 / Roll Roll Hero,雜牌勇者 / Roll Roll Hero,
https://store.steampowered.com/app/2333410/Bullet_Maidens/,Bullet Maidens/武裝少女,Bullet Maidens/武裝少女,Bullet Maidens/武裝少女,
https://store.steampowered.com/app/2169950,百劍討妖傳綺譚,百劍討妖傳綺譚,百劍討妖傳綺譚,
https://store.steampowered.com/app/1352890/Seekers_Alliance/,追尋者聯盟 Seekers Alliance,追尋者聯盟 Seekers Alliance,追尋者聯盟 Seekers Alliance,
